count_updated,Created_by_Created by 62,Doc_knowledge_False,count_reassign,support_incharge_Resolver 15,support_incharge_Resolver 244,Support_group_Group 14,Created_by_Created by 151,confirmation_check_False,impact
1,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,1.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,1.0,0.0,5,0.0,0.0,0.0,0.0,1.0,2 - Medium
10,1.0,0.0,6,0.0,0.0,0.0,0.0,1.0,2 - Medium
12,1.0,0.0,6,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
